Moneda,Codigo
Afgani afgano,AFN
Ariary malgache,MGA
Baht tailandés,THB
Balboa panameño,PAB
Birr etíope,ETB
Bolívar fuerte,VEF
Boliviano,BOB
Cedi,GHS
Chelín keniano,KES
Chelín somalí,SOS
Chelín tanzano,TZS
Chelín ugandés,UGX
Colón costarricense,CRC
Córdoba nicaragüense,NIO
Corona checa,CZK
Corona danesa,DKK
Corona islandes,ISK
Corona noruega,NOK
Corona sueca,SEK
Dalasi,GMD
Denar macedonio,MKD
Dinar argelino,DZD
Dinar bahreiní,BHD
Dinar iraquí,IQD
Dinar jordano,JOD
Dinar kuwaití,KWD
Dinar libio,LYD
Dinar serbio,RSD
Dinar tunecino,TND
Dirham de los Emiratos Árabes Unidos,AED
Dirham marroquí,MAD
Dobra,STD
Dólar australiano,AUD
Dólar bahameño,BSD
Dólar beliceño,BZD
Dólar canadiense,CAD
Dólar de Barbados,BBD
Dólar de Brunéi,BND
Dólar de las Islas Salomón,SBD
Dólar de Singapur,SGD
Dólar del Caribe Oriental,XCD
Dólar estadounidense,USD
Dólar fiyiano,FJD
Dólar guyanés,GYD
Dólar jamaiquino,JMD
Dólar liberiano,LRD
Dólar namibio,NAD
Dólar neozelandés,NZD
Dólar surinamés,SRD
Dólar trinitense,TTD
Dong vietnamita,VND
Dram armenio,AMD
Escudo caboverdiano,CVE
Euro,EUR
Forinto húngaro,HUF
Franco CFA de África Central,XAF
Franco CFA de África Occidental,XOF
Franco comorano,KMF
Franco congoleño,CDF
Franco de Burundi,BIF
Franco guineano,GNF
Franco ruandés,RWF
Franco suizo,CHF
Franco yibutiano,DJF
Gourde haitiano,HTG
Grivna,UAH
Guaraní,PYG
Kina,PGK
Kip laosiano,LAK
Kuna croata,HRK
Kwacha malauí,MWK
Kwacha zambiano,ZMW
Kwanza angoleño,AOA
Kyat birmano,MMK
Lari georgiano,GEL
Lek albanés,ALL
Lempira hondureño,HNL
Leone,SLL
Leu moldavo,MDL
Leu rumano,RON
Lev búlgaro,BGN
Libra británica,GBP
Libra egipcia,EGP
Libra libanesa,LBP
Libra siria,SYP
Libra sudanesa,SDG
Libra sursudanesa,SSP
Lilangeni,SZL
Lira turca,TRY
Loti,LSL
Manat azerí,AZN
Manat turcomano,TMT
Marco convertible,BAM
Metical mozambiqueño,MZN
Naira,NGN
Nakfa,ERN
Ngultrum butanés,BTN
Nuevo dólar taiwanés,TWD
Nuevo shéquel,ILS
Nuevo sol,PEN
Pa'anga,TOP
Peso,ARS
Peso chileno,CLP
Peso colombiano,COP
Peso cubano,CUP
Peso dominicano,DOP
Peso filipino,PHP
Peso mexicano,MXN
Peso uruguayo,UYU
Pula,BWP
Quetzal guatemalteco,GTQ
Rand sudafricano,ZAR
Real brasileño,BRL
Rial iraní,IRR
Rial omaní,OMR
Rial yemení,YER
Riel camboyano,KHR
Ringgit malayo,MYR
Riyal qatarí,QAR
Riyal saudí,SAR
Rublo bielorruso,BYN
Rublo ruso,RUB
Rupia de Maldivas,MVR
Rupia de Mauricio,MUR
Rupia de Seychelles,SCR
Rupia de Sri Lanka,LKR
Rupia india,INR
Rupia indonesia,IDR
Rupia nepalí,NPR
Rupia pakistaní,PKR
Som kirguís,KGS
Som uzbeko,UZS
Somoni tayiko,TJS
Taka bangladeshí,BDT
Tala,WST
Tenge kazajo,KZT
Tugrik mongol,MNT
Uguiya,MRO
Vatu,VUV
Won norcoreano,KPW
Won surcoreano,KRW
Yen,JPY
Yuan chino,CNY
Zloty,PLN
